Number,Age,Gender,BirthPlace,Education," «Маш, а Вы не могли бы подойти, пожалуйста?»","«Даш, Вы тоже решили пораньше прийти?»","«Саш, Вы не могли бы закрыть окно, пожалуйста?»"
214,56,Мужской,Ленинград,высшее,нормально,нормально,нормально
215,15,Женский,Подольск,незаконченное среднее (=школьник),нормально,фамильярно,фамильярно
216,27,Мужской,Ленинград ,высшее,фамильярно,нормально,нормально
217,17,Женский,Санкт-Петербург ,незаконченное среднее (=школьник),грубо,нормально,нормально
218,17,Женский,Винница (Украина),незаконченное среднее (=школьник),фамильярно,нормально,нормально
219,22,Женский,Екатеринбург,неоконченное высшее,фамильярно,нормально,нормально
220,53,Женский,Череповеу,высшее,фамильярно,фамильярно,фамильярно
221,14,Мужской,Москва,незаконченное среднее (=школьник),фамильярно,нормально,нормально
222,28,Женский,Спб,высшее,грубо,нормально,фамильярно
223,17,Женский,Москва,неоконченное высшее,грубо,фамильярно,нормально
224,13,Мужской,В Рыбинске,незаконченное среднее (=школьник),фамильярно,нормально,нормально
225,19,Женский,Томск,неоконченное высшее,нормально,нормально,нормально
226,43,Женский,Ленинград ,высшее,фамильярно,фамильярно,нормально
227,25,Женский,Новочеркасск,высшее,нормально,нормально,нормально
228,26,Женский,Тверь,высшее,нормально,нормально,нормально
229,19,Мужской,Саратов,неоконченное высшее,нормально,нормально,нормально
230,17,Женский,Москва,незаконченное среднее (=школьник),фамильярно,нормально,нормально
231,18,Мужской,Москва,неоконченное высшее,нормально,нормально,нормально
232,30,Женский,Москва ,высшее,фамильярно,фамильярно,фамильярно
233,19,Женский,Санкт-Петербург ,неоконченное высшее,нормально,фамильярно,фамильярно
234,25,Мужской,Московская область ,высшее,нормально,нормально,нормально
235,29,Женский,москва,неоконченное высшее,нормально,нормально,нормально
236,27,Женский,Узбекистан,высшее,фамильярно,нормально,нормально
237,16,Женский,Санкт-Петербург ,незаконченное среднее (=школьник),фамильярно,нормально,нормально
238,55,Мужской,Кавказ,высшее,грубо,нормально,нормально
239,19,Мужской,москва,неоконченное высшее,фамильярно,нормально,нормально
240,18,Женский,Смоленск,неоконченное высшее,нормально,нормально,фамильярно
241,20,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
242,18,Мужской,Москва,среднее специальное,фамильярно,нормально,нормально
243,14,Женский,Москва,незаконченное среднее (=школьник),фамильярно,нормально,нормально
244,42,Женский,Брянск,высшее,фамильярно,фамильярно,нормально
245,32,Женский,г. Ленинград,высшее,фамильярно,нормально,нормально
246,22,Женский,Казань,высшее,фамильярно,нормально,нормально
247,18,Женский,Спб,неоконченное высшее,фамильярно,нормально,нормально
248,36,Женский,Москва,высшее,фамильярно,нормально,нормально
249,15,Женский,В Москве,незаконченное среднее (=школьник),нормально,нормально,нормально
250,21,Мужской,ЧГ,неоконченное высшее,нормально,нормально,нормально
251,18,Женский,Сахалинская область ,среднее,нормально,нормально,нормально
252,17,Женский,Москва,незаконченное среднее (=школьник),нормально,нормально,нормально
253,14,Женский,Москва,незаконченное среднее (=школьник),нормально,нормально,нормально
254,26,Мужской,Москва,высшее,нормально,нормально,нормально
255,25,Женский,Москва,высшее,фамильярно,нормально,нормально
256,20,Женский,Москва ,неоконченное высшее,фамильярно,нормально,фамильярно
257,22,Женский,Санкт-Петербург,среднее,нормально,нормально,нормально
258,81,Женский,Смоленская обл.,среднее специальное,фамильярно,фамильярно,нормально
259,26,Мужской,Архангельск,высшее,фамильярно,фамильярно,фамильярно
260,16,Женский,Санкт-Петербург,незаконченное среднее (=школьник),нормально,фамильярно,грубо
261,18,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
262,19,Мужской,Москва,неоконченное высшее,фамильярно,нормально,нормально
263,28,Мужской,Москва,высшее,нормально,нормально,нормально
264,18,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
265,25,Женский,Тверь ,высшее,грубо,нормально,фамильярно
266,21,Женский,Уфа,высшее,фамильярно,нормально,нормально
267,16,Женский,Москва,незаконченное среднее (=школьник),фамильярно,нормально,нормально
268,55,Мужской,Москва ,высшее,грубо,нормально,грубо
269,45,Женский,Москва,высшее,фамильярно,фамильярно,фамильярно
270,48,Женский,Краснодар ,высшее,грубо,нормально,грубо
271,20,Женский,Санкт-Петербург,высшее,фамильярно,нормально,нормально
272,15,Женский,Череповец,незаконченное среднее (=школьник),грубо,нормально,фамильярно
273,47,Мужской,Уфа,высшее,фамильярно,нормально,нормально
274,33,Женский,Карелия,высшее,фамильярно,нормально,нормально
275,17,Женский,Карелия,незаконченное среднее (=школьник),фамильярно,нормально,грубо
276,19,Женский,Москва,неоконченное высшее,фамильярно,нормально,фамильярно
277,19,Женский,Москва,неоконченное высшее,фамильярно,нормально,фамильярно
278,18,Женский,москва,неоконченное высшее,фамильярно,нормально,нормально
279,18,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
280,17,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
281,18,Женский,Екатеринбург,неоконченное высшее,нормально,нормально,нормально
282,18,Женский,Москва,неоконченное высшее,фамильярно,нормально,нормально
283,38,Женский,в июне,высшее,фамильярно,фамильярно,нормально
284,18,Женский,Москва,среднее,фамильярно,нормально,нормально
285,17,Женский,"Москва, Россия ",среднее,фамильярно,нормально,нормально
286,18,Женский,"Молдова, Тирасполь ",неоконченное высшее,фамильярно,нормально,нормально
287,19,Женский,Москва,неоконченное высшее,фамильярно,нормально,нормально
288,17,Мужской,Москва,среднее,фамильярно,фамильярно,нормально
289,18,Женский,Москва,среднее,грубо,фамильярно,нормально
290,18,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
291,18,Мужской,Ташкент,неоконченное высшее,нормально,нормально,нормально
292,18,Женский,Молдова,неоконченное высшее,фамильярно,нормально,нормально
293,18,Мужской,Симферополь,неоконченное высшее,фамильярно,нормально,нормально
294,19,Женский,Новосибирск,неоконченное высшее,фамильярно,нормально,грубо
295,18,Женский,"Ангарск, Иркутская область",неоконченное высшее,фамильярно,нормально,нормально
296,18,Женский,Новосибирск,неоконченное высшее,нормально,нормально,нормально
297,18,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
298,18,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
299,18,Женский,Москва,неоконченное высшее,фамильярно,нормально,нормально
300,14,Мужской,Москва,незаконченное среднее (=школьник),фамильярно,нормально,нормально
301,18,Женский,Белгород,неоконченное высшее,фамильярно,нормально,нормально
302,18,Мужской,Москва,неоконченное высшее,нормально,нормально,нормально
303,18,Женский,Москва,неоконченное высшее,грубо,нормально,нормально
304,19,Женский,Вологда,неоконченное высшее,нормально,нормально,нормально
305,18,Женский,Владивосток,неоконченное высшее,нормально,нормально,нормально
306,18,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
307,19,Женский,г.Москва,неоконченное высшее,фамильярно,нормально,нормально
308,17,Женский,Москва,незаконченное среднее (=школьник),нормально,нормально,нормально
309,18,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
310,17,Женский,Нижний Новгород,неоконченное высшее,нормально,нормально,нормально
