id,prm,val
111,age,29
111,sex,м
111,birthPlace,Москва
111,educLevel,высшее
112,age,25
112,sex,ж
112,birthPlace,Москва
112,educLevel,высшее
113,age,25
113,sex,ж
113,birthPlace,Николаев
113,educLevel,высшее
114,age,43
114,sex,ж
114,birthPlace,Таджикская ССР
114,educLevel,высшее
115,age,56
115,sex,ж
115,birthPlace,Москва
115,educLevel,высшее
116,age,39
116,sex,ж
116,birthPlace,Москва
116,educLevel,высшее
117,age,43
117,sex,м
117,birthPlace,Таджикская ССР
117,educLevel,высшее
118,age,55
118,sex,м
118,birthPlace,Москва
118,educLevel,высшее
119,age,48
119,sex,ж
119,birthPlace,Кубань
119,educLevel,высшее
120,age,55
120,sex,м
120,birthPlace,Кавказ
120,educLevel,высшее
121,age,47
121,sex,м
121,birthPlace,Уфа
121,educLevel,высшее
122,age,53
122,sex,ж
122,birthPlace,Череповец
122,educLevel,высшее
123,age,44
123,sex,м
123,birthPlace,Москва
123,educLevel,высшее
124,age,45
124,sex,ж
124,birthPlace,Москва
124,educLevel,высшее
125,age,70
125,sex,м
125,birthPlace,Владивосток
125,educLevel,высшее
126,age,47
126,sex,ж
126,birthPlace,Москва
126,educLevel,высшее
127,age,57
127,sex,ж
127,birthPlace,Москва
127,educLevel,высшее
128,age,57
128,sex,м
128,birthPlace,Москва
128,educLevel,высшее
129,age,32
129,sex,м
129,birthPlace,Москва
129,educLevel,высшее
130,age,30
130,sex,ж
130,birthPlace,Москва
130,educLevel,высшее
131,age,77
131,sex,м
131,birthPlace,Улан-Удэ
131,educLevel,высшее
132,age,60
132,sex,ж
132,birthPlace,Москва
132,educLevel,высшее
133,age,51
133,sex,ж
133,birthPlace,Москва
133,educLevel,высшее
134,age,66
134,sex,м
134,birthPlace,Республика Молдова
134,educLevel,высшее
135,age,69
135,sex,ж
135,birthPlace,Феодосия
135,educLevel,высшее
136,age,74
136,sex,ж
136,birthPlace,Феодосия
136,educLevel,высшее
137,age,61
137,sex,ж
137,birthPlace,Киев
137,educLevel,высшее
138,age,29
138,sex,ж
138,birthPlace,Москва
138,educLevel,высшее
139,age,30
139,sex,ж
139,birthPlace,-
139,educLevel,высшее
